Name,Volume,Price,Chg,% Chg
VelocityShares Daily 2x VIX Short Term ETN (TVIX),43530208,$5.13,-0.32,-5.87
Apple (AAPL),15542482,106.47,0.55,0.52
Sirius XM Holdings (SIRI),13662448,3.93,-0.02,-0.51
Microsoft (MSFT),11774731,53.43,-0.06,-0.11
Intel (INTC),10663560,32.23,-0.45,-1.38
Facebook Cl A (FB),10512256,111.44,-0.01,-0.01
Cisco Systems (CSCO),10119899,28.2,-0.13,-0.46
Yahoo! (YHOO),9653839,35.41,0.24,0.68
MannKind (MNKD),9543667,2.13,0.13,6.5
Micron Technology (MU),9350092,11.36,0.21,1.93
PowerShares QQQ Trust Series 1 (QQQ),9030803,107.5,0.13,0.12
Marriott International Cl A (MAR),8858574,72.21,-0.95,-1.3
VelocityShares Daily Inverse VIX Short Term ETN (XIV),8776749,24.14,0.43,1.81
Endo International (ENDP),8460770,29,-0.84,-2.82
Zynga (ZNGA),8452844,2.21,-0.06,-2.64
PayPal Holdings (PYPL),7052294,40.59,1.18,2.98
Huntington Bancshares (HBAN),6913561,9.64,-0.03,-0.26
Applied Materials (AMAT),6890384,20.8,0.31,1.51
eBay (EBAY),6801521,24.27,0.5,2.1
Markit (MRKT),6753948,32.9,3.41,11.56
Netflix (NFLX),6523085,100.09,-1.03,-1.02
JD.com ADR (JD),6507214,26.91,-0.16,-0.61
Express Scripts Holding (ESRX),6113694,69.51,0.04,0.06
Mondelez International Cl A (MDLZ),5917050,40.75,0.01,0.02
Linn Energy (LINE),5584101,0.58,0.01,2.01
Symantec (SYMC),4834647,18.79,0.18,0.99
Qualcomm (QCOM),4622386,52.05,0.46,0.88
Gilead Sciences (GILD),4605328,92.76,2.49,2.76
Affymetrix (AFFX),4330211,14.5,-1.49,-9.32
NVIDIA (NVDA),4248890,33.82,0.01,0.03
Ctrip.com International ADR (CTRP),4086888,44.59,1.07,2.46
Tesla Motors (TSLA),3584811,238.25,5.51,2.37
Frontier Communications (FTR),3543049,5.31,0.03,0.57
ProShares UltraPro Short QQQ (SQQQ),3497065,19.4,-0.05,-0.26
Office Depot (ODP),3369026,5.43,-0.33,-5.77
Horizon Pharma (HZNP),3368842,15.04,1.02,7.28
Groupon (GRPN),3348389,4.07,0.02,0.49
Amazon.com (AMZN),3190449,547.6,-4.48,-0.81
Exelixis (EXEL),3156040,3.84,-0.03,-0.78
Interval Leisure Group (IILG),3151654,13.47,-0.27,-1.97
Novavax (NVAX),3111592,5.28,0.21,4.14
Celldex Therapeutics (CLDX),3100734,3.53,0.3,9.29
Staples (SPLS),3076687,9.88,-0.12,-1.2
Starbucks (SBUX),3073043,59.07,-0.63,-1.06
Himax Technologies ADR (HIMX),3056436,10,-0.49,-4.67
Celgene (CELG),3015401,101.16,2.4,2.43
Shire ADR (SHPG),2983722,166.71,5.74,3.57
Sarepta Therapeutics (SRPT),2942919,20.71,2.71,15.06
Comcast Cl A (CMCSA),2887736,59.92,0.16,0.27
ARRIS International (ARRS),2827000,22.44,-0.37,-1.62
iShares 20+ Year Treasury Bond ETF (TLT),2810237,128.31,-0.75,-0.58
LinnCo (LNCO),2767575,0.5,-0.03,-4.98
Fifth Third Bancorp (FITB),2712359,17.34,-0.02,-0.12
JetBlue Airways (JBLU),2571653,20.26,-0.05,-0.25
Synergy Pharmaceuticals (SGYP),2556533,2.88,-0.06,-2.04
American Airlines Group (AAL),2533894,43.37,-0.07,-0.16
FireEye (FEYE),2489141,18.45,0.09,0.49
Oncothyreon (ONTY),2476092,1.41,0.12,9.29
CSX (CSX),2446942,26.65,-0.37,-1.37
Oclaro (OCLR),2413378,4.8,0.25,5.49
Adobe Systems (ADBE),2294373,92.47,-0.95,-1.02
Rex Energy (REXX),2287079,1.23,0.04,3.36
Wendy's Co (WEN),2239896,10.49,0.11,1.11
HD Supply Holdings (HDS),2214256,32.02,0.09,0.28
Vitae Pharmaceuticals (VTAE),2203477,7.38,0.19,2.71
Glu Mobile (GLUU),2161736,3.06,-0.1,-3.01
Solazyme (SZYM),2127709,2.77,0.5,22.35
Western Digital (WDC),2117558,48.69,-0.33,-0.67
21st Century Fox Cl A (FOXA),2095610,27.97,-0.26,-0.92
BlackBerry (BBRY),2066189,7.99,-0.06,-0.75
lululemon athletica (LULU),2064982,60.7,-1.81,-2.9
GoPro (GPRO),2024611,12.93,0.05,0.39
Arena Pharmaceuticals (ARNA),1982550,1.77,0.12,7.27
Flextronics International (FLEX),1922007,11.86,0.03,0.25
Vanguard Natural Resources (VNR),1898374,1.66,0.05,3.44
Cara Therapeutics (CARA),1896482,5.97,0.8,15.47
Patterson-UTI Energy (PTEN),1862666,17.4,0.15,0.87
Vodafone Group ADR (VOD),1823796,31.4,-0.16,-0.52
BioMarin Pharmaceutical (BMRN),1813069,77.11,-3.83,-4.74
SanDisk (SNDK),1780997,76.53,-0.04,-0.05
Wynn Resorts (WYNN),1767397,91.87,-2.15,-2.29
ACADIA Pharmaceuticals (ACAD),1765267,21.47,1.68,8.49
Ericsson ADR (ERIC),1753294,9.71,-0.11,-1.07
Mylan (MYL),1748021,45.28,0.23,0.51
Geron (GERN),1670734,2.96,0.1,3.32
Energy XXI (EXXI),1637929,0.84,-0.08,-8.42
Amgen (AMGN),1599495,147.1,1.59,1.09
Cypress Semiconductor (CY),1588474,8.79,-0.03,-0.34
Broadcom (AVGO),1577854,152.09,-0.4,-0.26
Seagate Technology (STX),1573984,36.3,-0.27,-0.74
Pan American Silver (PAAS),1570213,10.97,0.23,2.14
SolarCity (SCTY),1558843,26.61,-0.45,-1.66
Whole Foods Market (WFM),1544247,33.25,-0.17,-0.51
Mattel (MAT),1532756,32.57,-0.21,-0.64
Cognizant Technology Solutions (CTSH),1502745,59.33,0.08,0.13
ProShares UltraPro QQQ (TQQQ),1499106,98.04,0.48,0.49
Skyworks Solutions (SWKS),1467663,76.51,-0.51,-0.66
Amicus Therapeutics (FOLD),1457072,7.88,0.02,0.25
Melco Crown Entertainment ADR (MPEL),1454254,17.01,-0.26,-1.51
Merrimack Pharmaceuticals (MACK),1439178,8.19,0.34,4.33
