Name,Volume,Price,Chg,% Chg
Bank of America (BAC),86511716,$13.64,-0.15,-1.09
SunEdison (SUNE),52825088,2.13,0.21,10.94
Pfizer (PFE),45973593,30.1,-0.4,-1.31
Freeport-McMoRan (FCX),39386950,9.97,0.42,4.4
Chesapeake Energy (CHK),39374150,4.38,-0.32,-6.81
Whiting Petroleum (WLL),33053428,8.5,0.05,0.59
Vale ADR (VALE),28814195,3.72,-0.11,-2.87
Marathon Oil (MRO),28361312,11.09,-0.07,-0.63
Petroleo Brasileiro ADR (PBR),28243318,5.22,-0.31,-5.61
Itau Unibanco Holding ADR (ITUB),25092630,8.79,-0.17,-1.9
United States Steel (X),23272242,14.57,0.04,0.28
Alcoa (AA),21399460,9.67,0.15,1.58
General Electric (GE),21081982,30.27,-0.07,-0.23
Ford Motor (F),19884384,13.27,-0.02,-0.15
Starwood Hotels&Resorts Worldwide (HOT),19472085,75.93,5.51,7.82
Kinder Morgan (KMI),18854085,18.74,0.12,0.64
Barrick Gold (ABX),18770569,13.67,-0.28,-2.01
Morgan Stanley (MS),17489155,25.91,-0.09,-0.35
3D Systems (DDD),17186234,14.45,2.9,25.11
AT&T (T),16987971,38.32,-0.04,-0.1
Yamana Gold (AUY),16681456,3,-0.11,-3.54
ArcelorMittal ADR (MT),16651122,4.24,0.24,6
Twitter (TWTR),16449106,17.12,0.31,1.84
Energy Transfer Equity (ETE),16372469,7.2,0.38,5.57
Regions Financial (RF),16168168,8.21,-0.03,-0.36
Host Hotels&Resorts (HST),15846541,16.87,0.24,1.44
J.C. Penney (JCP),15296003,11.48,0.26,2.32
Denbury Resources (DNR),15136492,2.23,-0.17,-7.08
Citigroup (C),15108404,42.67,-0.32,-0.74
Ambev ADR (ABEV),14902855,4.91,-0.08,-1.6
Southwestern Energy (SWN),14740486,7.46,-0.54,-6.75
Transocean (RIG),14736852,11.26,0.01,0.09
Oracle (ORCL),14353899,38.7,-0.25,-0.64
Petroleo Brasileiro ADR A (PBRA),14047144,4.04,-0.41,-9.21
HP (HPQ),13337975,11.47,-0.23,-1.97
JPMorgan Chase (JPM),13089145,59.12,-0.22,-0.37
Weatherford International (WFT),12980194,7.14,-0.1,-1.38
Coca-Cola (KO),12804149,45.29,0.09,0.2
KeyCorp (KEY),12518596,11.14,-0.08,-0.71
Wells Fargo (WFC),12453765,49.88,-0.19,-0.38
Devon Energy (DVN),12142906,24.79,0.01,0.04
Oasis Petroleum (OAS),12037936,7.2,-0.28,-3.74
Procter&Gamble (PG),12021991,81.17,-0.58,-0.71
Hertz Global Holdings (HTZ),11871532,10.85,-0.23,-2.08
WPX Energy (WPX),11514658,5.98,-0.14,-2.29
Verizon Communications (VZ),11319465,52.54,0.01,0.02
Goldcorp (GG),11117752,15.82,-0.55,-3.36
Alibaba Group Holding ADR (BABA),11027314,73.35,-0.66,-0.89
Kinross Gold (KGC),10897694,2.89,-0.06,-2.03
Peabody Energy (BTU),10742996,4.48,-2.07,-31.6
Encana (ECA),10729498,5.48,-0.13,-2.32
Exxon Mobil (XOM),10575562,82.41,0.22,0.27
Nabors Industries (NBR),10564045,9.01,-0.19,-2.07
Halliburton (HAL),10225888,35.5,-0.62,-1.72
Gold Fields ADR (GFI),9939450,3.82,-0.26,-6.37
Vipshop Holdings ADR (VIPS),9792197,12.49,-0.17,-1.34
Hewlett Packard Enterprise (HPE),9415566,16.41,0.08,0.49
Baxalta (BXLT),9400045,39.4,0,0
Cemex ADR (CX),9399907,6.14,0.05,0.82
Valeant Pharmaceuticals International (VRX),9248764,69.04,-0.51,-0.73
Williams (WMB),9145554,16.5,0.49,3.06
ConocoPhillips (COP),9116526,40.01,-0.51,-1.26
Sprint (S),9012808,3.72,0.01,0.27
Cliffs Natural Resources (CLF),8953912,2.71,0.36,15.32
General Motors (GM),8943340,31.18,-0.08,-0.26
SeaDrill (SDRL),8828391,3.88,-0.12,-3
Noble (NE),8775210,10.94,-0.21,-1.88
AstraZeneca ADR (AZN),8725306,29.35,-0.22,-0.74
Rite Aid (RAD),8648135,7.97,0,0
Ultra Petroleum (UPL),8312189,0.69,-0.12,-14.25
Hecla Mining (HL),8106076,2.66,-0.03,-1.12
Hilton Worldwide Holdings (HLT),8084309,21.31,0.05,0.24
