Name,Volume,Price,Chg,% Chg
RF Industries (RFIL),$3.03,-0.47,-13.43,73218
Destination Maternity (DEST),8.8,-1.25,-12.44,89853
Affymetrix (AFFX),14.4,-1.59,-9.94,5847886
Ascent Capital Group Series A (ASCMA),14.4,-1.54,-9.66,151626
Ecology&Environment (EEI),9.66,-0.95,-8.95,4784
VelocityShares Daily 2x VIX Short Term ETN (TVIX),4.98,-0.47,-8.62,61583884
The9 ADR (NCTY),2.24,-0.21,-8.57,34725
CaesarStone Sdot-Yam (CSTE),33.95,-2.84,-7.72,423635
Bon-Ton Stores (BONT),2.4,-0.2,-7.69,147125
Internet Gold-Golden Lines (IGLD),16.34,-1.32,-7.47,20921
Presbia (LENS),4.61,-0.33,-6.68,5956
Meridian Bioscience (VIVO),20,-1.36,-6.37,366186
Shiloh Industries (SHLO),5.74,-0.39,-6.36,38799
ADDvantage Technologies Group (AEY),1.94,-0.13,-6.28,11378
Avinger (AVGR),8.51,-0.56,-6.17,121867
CM Finance (CMFN),8.55,-0.56,-6.15,165641
magicJack VocalTec (CALL),6.73,-0.44,-6.14,185024
ProShares UltraPro Short NASDAQ Biotechnology (ZBIO),38.87,-2.49,-6.02,53630
Oxford Immunotec Global (OXFD),10.21,-0.64,-5.9,14166
Bravo Brio Restaurant Group (BBRG),8.52,-0.52,-5.75,48610
MoneyGram International (MGI),6,-0.36,-5.66,152027
GenMark Diagnostics (GNMK),5.2,-0.31,-5.63,97534
Mesoblast ADR (MESO),9.76,-0.58,-5.61,26330
Hudson Global (HSON),2.39,-0.14,-5.53,39096
FuelCell Energy (FCEL),7.55,-0.44,-5.51,801147
Career Education (CECO),4.49,-0.25,-5.27,294036
Haynes International (HAYN),37.88,-2.1,-5.25,110655
Sears Holdings (SHLD),15.25,-0.84,-5.22,778347
Eagle Pharmaceuticals (EGRX),41.24,-2.26,-5.2,724091
Synergy Pharmaceuticals (SGYP),2.79,-0.15,-5.1,4958994
Alliance Holdings GP (AHGP),13.75,-0.72,-4.98,150364
Tokai Pharmaceuticals (TKAI),5.59,-0.29,-4.93,38114
West (WSTC),22.61,-1.15,-4.84,287532
Sizmek (SZMK),2.99,-0.15,-4.78,94553
Alder BioPharmaceuticals (ALDR),17.81,-0.88,-4.71,569794
Alliance Resource Partners (ARLP),12.28,-0.6,-4.66,359205
American Woodmark (AMWD),69.13,-3.36,-4.64,170191
PGT (PGTI),9.29,-0.45,-4.62,249390
SkyPeople Fruit Juice (SPU),2.92,-0.14,-4.58,16972
Radnet (RDNT),5.02,-0.24,-4.56,145576
Fiesta Restaurant Group (FRGI),33.78,-1.59,-4.5,354320
WAVE Life Sciences (WVE),13.94,-0.65,-4.46,30600
Destination XL Group (DXLG),4.76,-0.22,-4.42,118661
Rigel Pharmaceuticals (RIGL),1.96,-0.09,-4.39,603081
EV Energy Partners (EVEP),1.97,-0.09,-4.37,732778
eHealth (EHTH),9.42,-0.43,-4.37,125585
Parnell Pharmaceuticals Holdings (PARN),2.41,-0.11,-4.37,27840
Westmoreland Coal (WLB),7.02,-0.32,-4.36,274598
County Bancorp (ICBK),19.37,-0.87,-4.3,2447
Bloomin' Brands (BLMN),16.56,-0.74,-4.28,1399051
Liquidity Services (LQDT),5.42,-0.24,-4.24,169487
Consumer Portfolio Services (CPSS),4.07,-0.18,-4.24,70233
RTI Surgical (RTIX),3.87,-0.17,-4.21,119296
Windstream Holdings (WIN),7.36,-0.32,-4.17,1563159
Francesca's Holdings (FRAN),17.29,-0.75,-4.16,934202
Stamps.com (STMP),109.38,-4.74,-4.15,645936
Staar Surgical (STAA),7.21,-0.31,-4.12,81566
Caesars Entertainment (CZR),6.3,-0.27,-4.11,717221
Lakeland Industries (LAKE),11.59,-0.49,-4.06,71136
Ceco Environmental (CECE),6.17,-0.26,-4.04,180889
Westport Innovations (WPRT),2.89,-0.12,-3.99,537810
Nexstar Broadcasting Group Cl A (NXST),46.26,-1.91,-3.97,379574
vTv Therapeutics Cl A (VTVT),5.63,-0.23,-3.92,22417
ProShares UltraShort Nasdaq Biotechnology (BIS),45.53,-1.84,-3.88,1408385
Atlantic American (AAME),4.21,-0.17,-3.88,11518
L.B. Foster (FSTR),17.62,-0.71,-3.87,98719
Ambac Financial Group (AMBC),16.44,-0.66,-3.86,305769
Intersections (INTX),2.74,-0.11,-3.86,20609
Covisint (COVS),2.04,-0.08,-3.77,29091
Conifer Holdings (CNFR),6.69,-0.26,-3.74,21873
Olympic Steel (ZEUS),16.25,-0.63,-3.73,94437
Old Second Bancorp (OSBC),7.28,-0.28,-3.7,50319
Omnicell (OMCL),26.88,-1.03,-3.69,210582
Ferroglobe (GSM),8.89,-0.34,-3.68,661783
lululemon athletica (LULU),60.21,-2.3,-3.68,3666513
Corium International (CORI),4.2,-0.16,-3.67,24932
Cartesian (CRTN),2.11,-0.08,-3.65,2530
MFRI (MFRI),7.22,-0.27,-3.61,45504
Green Bancorp (GNBC),8.07,-0.3,-3.58,23269
Hawaiian Telcom Holdco (HCOM),22.65,-0.83,-3.53,22839
YY ADR (YY),57.69,-2.11,-3.53,1376662
Himax Technologies ADR (HIMX),10.12,-0.37,-3.53,5559074
Cowen Group (COWN),3.56,-0.13,-3.52,408930
MainSource Financial Group (MSFG),21.11,-0.77,-3.52,31417
Central European Media Enterprises Cl A (CETV),2.47,-0.09,-3.52,86214
