Name,Volume,% Diff,Price,Chg,% Chg
ATA ADR (ATAI),1132332,3849.88,$5.14,-0.18,-3.4
Markit (MRKT),10271615,1633.25,33.51,4.02,13.63
Cara Therapeutics (CARA),3142842,546.68,6.27,1.1,21.28
Interval Leisure Group (IILG),4737194,521.82,13.68,-0.06,-0.44
Tangoe (TNGO),1276309,413.42,7.94,0.22,2.85
Victory CEMP International Volatility Weighted Index ETF (CIL),35444,402.97,33.27,-0.03,-0.09
Vanguard Russell 2000 ETF (VTWO),258301,399.21,87.43,-0.25,-0.29
GSI Group (GSIG),247865,357.63,13.98,0.28,2.04
Two River Bancorp (TRCB),25670,325.98,9.74,0.04,0.41
Exa (EXA),103637,316.2,12.34,0.71,6.1
Global-Tech Advanced Innovations (GAI),23461,300.67,8.8,-0.01,-0.16
PowerShares S&P SmallCap Information Technology Portfolio (PSCT),156265,284.39,53.91,-0.22,-0.41
CM Finance (CMFN),165641,278.19,8.55,-0.56,-6.15
Vitae Pharmaceuticals (VTAE),3052373,278.15,7.31,0.12,1.67
First United (FUNC),39839,274.59,11.03,0.13,1.19
Sarepta Therapeutics (SRPT),6922059,262.38,21.71,3.71,20.61
Zynerba Pharmaceuticals (ZYNE),781550,254.27,11.46,0.73,6.8
Elizabeth Arden (RDEN),475052,246.05,8.89,1.21,15.76
Michaels Cos. (MIK),2770575,243.89,27.13,-0.37,-1.35
Marriott International Cl A (MAR),13589258,223.8,72.3,-0.86,-1.18
VSE (VSEC),66757,220.12,69.27,0.51,0.74
Hardinge (HDNG),67633,208.61,11.34,0.87,8.31
Ovascience (OVAS),1691421,201.38,10.58,1.84,21.05
iShares MSCI New Zealand Capped ETF (ENZL),143881,189.7,39.56,0.1,0.25
MFRI (MFRI),45504,177.23,7.22,-0.27,-3.61
Mitel Networks (MITL),704580,171.34,7.49,0.07,0.94
ProShares UltraShort Nasdaq Biotechnology (BIS),1408385,152.57,45.53,-1.84,-3.88
Hooker Furniture (HOFT),169825,148.13,35.42,1.89,5.64
Rofin-Sinar Technologies (RSTI),658778,142.22,31.79,0.46,1.47
CRA International (CRAI),151810,140.38,21.5,0.82,3.97
Endo International (ENDP),11760509,136.31,28.84,-1,-3.35
