Name,Volume,Price,Chg,% Chg
Cara Therapeutics (CARA),6.27,1.1,21.28,3142842
Ovascience (OVAS),10.58,1.84,21.05,1691421
Solazyme (SZYM),2.73,0.47,20.8,3464989
Sarepta Therapeutics (SRPT),21.71,3.71,20.61,6922059
HTG Molecular Diagnostics (HTGM),3.1,0.47,17.87,28568
Elizabeth Arden (RDEN),8.89,1.21,15.76,475052
Aratana Therapeutics (PETX),5.19,0.68,15.08,2859425
Nuvectra (NVTR),4.89,0.59,13.72,1034281
Markit (MRKT),33.51,4.02,13.63,10271615
Ocera Therapeutics (OCRX),3.26,0.35,12.03,766676
Celldex Therapeutics (CLDX),3.61,0.38,11.76,5551148
AccuShares Spot CBOE VIX Down Shares (VXDN),8.18,0.83,11.29,2212
GW Pharmaceuticals ADR (GWPH),80.87,8.15,11.21,957497
NantKwest (NK),8.05,0.78,10.73,422298
BofI Holding (BOFI),21.19,1.99,10.36,1915226
Adamas Pharmaceuticals (ADMS),13.91,1.27,10.05,523545
Concordia Healthcare (CXRX),29.54,2.62,9.73,285534
Dimension Therapeutics (DMTX),9.59,0.85,9.73,47329
TerraForm Power (TERP),9.52,0.83,9.55,1920636
CareDx (CDNA),4.88,0.41,9.17,20373
Invuity (IVTY),7.33,0.61,9.08,25835
SteadyMed (STDY),2.53,0.21,9.05,9250
Amtech Systems (ASYS),7.59,0.62,8.9,69412
Prothena (PRTA),40.62,3.3,8.84,790973
ACADIA Pharmaceuticals (ACAD),21.53,1.74,8.79,2873975
USA Technologies (USAT),4.37,0.35,8.71,827390
Hardinge (HDNG),11.34,0.87,8.31,67633
Intra-Cellular Therapies (ITCI),26.15,1.99,8.24,786654
Halozyme Therapeutics (HALO),9.08,0.69,8.22,2254872
BMC Stock Holdings (STCK),15.73,1.16,7.96,368212
Acacia Research - Acacia Technologies (ACTG),4.13,0.3,7.83,1672686
aTyr Pharma (LIFE),5.71,0.41,7.74,182072
New York Mortgage Trust (NYMT),5.03,0.36,7.71,1784701
OncoMed Pharmaceuticals (OMED),10.4,0.72,7.44,188016
Egalet (EGLT),6.46,0.44,7.31,87744
Aralez Pharmaceuticals (ARLZ),3.99,0.27,7.26,777902
FreightCar America (RAIL),16.13,1.07,7.1,290301
Raptor Pharmaceutical (RPTP),4.45,0.29,7.1,1154711
Flex Pharma (FLKS),11.78,0.77,6.99,160471
Karyopharm Therapeutics (KPTI),8.9,0.58,6.97,294233
PDL BioPharma (PDLI),3.38,0.22,6.96,2617540
Five9 (FIVN),8.34,0.54,6.92,703612
Dorchester Minerals (DMLP),11.43,0.73,6.82,52485
Zynerba Pharmaceuticals (ZYNE),11.46,0.73,6.8,781550
Horizon Pharma (HZNP),14.94,0.92,6.56,4584786
Digi International (DGII),9.3,0.57,6.53,111177
Sangamo BioSciences (SGMO),5.72,0.35,6.52,855458
Bellicum Pharmaceuticals (BLCM),8.67,0.53,6.51,406066
Trevena (TRVN),7.7,0.47,6.5,351283
Proshares UltraPro NASDAQ Biotechnology (UBIO),22.79,1.36,6.35,264670
Oclaro (OCLR),4.83,0.28,6.15,3427853
Alliance Fiber Optic Products (AFOP),15.04,0.87,6.14,386177
Exa (EXA),12.34,0.71,6.1,103637
CNinsure ADR (CISG),7.72,0.44,6.04,82930
Gogo (GOGO),11.65,0.65,5.91,1532676
Aquinox Pharmaceuticals (AQXP),8.81,0.49,5.89,407108
AcelRx Pharmaceuticals (ACRX),3.26,0.18,5.84,410572
BeiGene ADR (BGNE),29.3,1.61,5.81,138215
Osiris Therapeutics (OSIR),5.5,0.3,5.77,230467
Merrimack Pharmaceuticals (MACK),8.3,0.45,5.73,2497566
Energy Recovery (ERII),10.24,0.55,5.68,1076556
Teligent (TLGT),4.86,0.26,5.65,430088
Cnova (CNV),2.62,0.14,5.65,89071
Five Prime Therapeutics (FPRX),37.06,1.98,5.64,715415
Hooker Furniture (HOFT),35.42,1.89,5.64,169825
Mimecast (MIME),10.56,0.56,5.6,99563
MannKind (MNKD),2.11,0.11,5.5,14309505
Argos Therapeutics (ARGS),5.2,0.27,5.48,84170
Incyte (INCY),68.61,3.54,5.44,1792732
Fenix Parts (FENX),5.43,0.28,5.44,88016
Foundation Medicine (FMI),17.5,0.9,5.42,176039
Neos Therapeutics (NEOS),10.32,0.53,5.41,87064
FibroGen (FGEN),18.58,0.95,5.39,535276
CafePress (PRSS),3.74,0.19,5.35,15085
Cytokinetics (CYTK),6.54,0.33,5.31,343438
Ionis Pharmaceuticals (IONS),40.63,1.98,5.12,1687421
Aduro Biotech (ADRO),12.57,0.6,5.01,540357
Inter Parfums (IPAR),31.54,1.49,4.96,220067
ExOne (XONE),12.07,0.57,4.96,356767
BioCryst Pharmaceuticals (BCRX),2.76,0.13,4.94,819784
Arcadia Biosciences (RKDA),2.77,0.13,4.92,44223
Landec (LNDC),10.92,0.51,4.9,238099
Natera (NTRA),9.24,0.43,4.88,147325
Burcon Nutrascience (BUR),2.59,0.12,4.86,20640
Array BioPharma (ARRY),2.82,0.13,4.83,1152925
Forward Pharma ADR (FWP),16.52,0.76,4.82,80435
T2 Biosystems (TTOO),8.92,0.41,4.82,74404
Pain Therapeutics (PTIE),2.19,0.1,4.78,176520
Alico (ALCO),28.78,1.3,4.73,17787
Providence&Worcester Railroad (PWX),14.13,0.63,4.69,5357
Rapid7 (RPD),13.26,0.59,4.66,130921
Empire Resorts (NYNY),12.88,0.57,4.63,35654
Cardiovascular Systems (CSII),10.19,0.45,4.62,387358
ChinaCache International Holdings ADR (CCIH),9.98,0.44,4.61,225874
Atara Biotherapeutics (ATRA),17.63,0.77,4.57,206619
KEYW Holding (KEYW),6.89,0.3,4.55,246423
Applied Genetic Technologies (AGTC),14.37,0.62,4.51,176248
