Name,Volume,Price,Chg,% Chg
VelocityShares Daily 2x VIX Short Term ETN (TVIX),61583884,4.98,-0.47,-8.62
Apple (AAPL),34362456,105.91,-0.01,-0.01
Sirius XM Holdings (SIRI),28971327,3.91,-0.04,-1.01
Microsoft (MSFT),23478173,53.86,0.37,0.69
Cisco Systems (CSCO),21690672,28.19,-0.14,-0.49
Intel (INTC),20189737,32.34,-0.34,-1.04
Facebook Cl A (FB),18165383,111.85,0.4,0.36
Micron Technology (MU),17997995,11.53,0.39,3.5
VelocityShares Daily Inverse VIX Short Term ETN (XIV),15301248,24.44,0.73,3.08
PowerShares QQQ Trust Series 1 (QQQ),14736475,107.79,0.42,0.39
MannKind (MNKD),14309505,2.11,0.11,5.5
Marriott International Cl A (MAR),13589258,72.3,-0.86,-1.18
PayPal Holdings (PYPL),13278001,41.14,1.73,4.39
Yahoo! (YHOO),13193439,35.47,0.3,0.85
Applied Materials (AMAT),13045608,20.73,0.24,1.17
eBay (EBAY),12796707,24.34,0.57,2.4
Zynga (ZNGA),12772382,2.23,-0.04,-1.76
Mondelez International Cl A (MDLZ),12129876,40.69,-0.05,-0.12
Endo International (ENDP),11760509,28.84,-1,-3.35
Huntington Bancshares (HBAN),10812313,9.69,0.02,0.21
Qualcomm (QCOM),10753917,52.21,0.62,1.2
JD.com ADR (JD),10481141,26.96,-0.12,-0.44
Markit (MRKT),10271615,33.51,4.02,13.63
Office Depot (ODP),10124659,5.66,-0.1,-1.74
Symantec (SYMC),9805096,18.85,0.25,1.34
Netflix (NFLX),9530389,101.06,-0.06,-0.06
Staples (SPLS),9280417,9.69,-0.31,-3.1
Gilead Sciences (GILD),9249832,92.67,2.4,2.66
Linn Energy (LINE),9146756,0.6,0.03,5.11
Express Scripts Holding (ESRX),8863304,69.34,-0.13,-0.19
Frontier Communications (FTR),8307973,5.27,-0.01,-0.19
NVIDIA (NVDA),7671830,33.91,0.1,0.3
Sarepta Therapeutics (SRPT),6922059,21.71,3.71,20.61
Groupon (GRPN),6751874,4.16,0.11,2.72
Fifth Third Bancorp (FITB),6603495,17.37,0.01,0.06
Ctrip.com International ADR (CTRP),6566979,45.16,1.64,3.77
Starbucks (SBUX),6382725,59.1,-0.6,-1.01
Comcast Cl A (CMCSA),5866314,59.84,0.08,0.13
Affymetrix (AFFX),5847886,14.4,-1.59,-9.94
ProShares UltraPro Short QQQ (SQQQ),5835503,19.25,-0.2,-1.03
21st Century Fox Cl A (FOXA),5690496,27.97,-0.26,-0.92
Celgene (CELG),5595324,101.14,2.38,2.41
Himax Technologies ADR (HIMX),5559074,10.12,-0.37,-3.53
Celldex Therapeutics (CLDX),5551148,3.61,0.38,11.76
iShares 20+ Year Treasury Bond ETF (TLT),5391143,128.07,-0.99,-0.77
Novavax (NVAX),5289546,5.25,0.18,3.55
Wendy's Co (WEN),5289229,10.56,0.18,1.73
Tesla Motors (TSLA),5275978,238.32,5.58,2.4
Amazon.com (AMZN),5096632,553.98,1.9,0.34
Synergy Pharmaceuticals (SGYP),4958994,2.79,-0.15,-5.1
ARRIS International (ARRS),4908541,22.68,-0.13,-0.57
CSX (CSX),4737610,26.66,-0.36,-1.33
Interval Leisure Group (IILG),4737194,13.68,-0.06,-0.44
American Airlines Group (AAL),4709284,43.47,0.03,0.07
Horizon Pharma (HZNP),4584786,14.94,0.92,6.56
Adobe Systems (ADBE),4523531,92.5,-0.92,-0.98
HD Supply Holdings (HDS),4484227,32.14,0.21,0.66
Exelixis (EXEL),4406137,3.86,-0.01,-0.26
JetBlue Airways (JBLU),4403707,20.17,-0.14,-0.69
Rex Energy (REXX),4344412,1.27,0.08,6.72
FireEye (FEYE),4275547,18.76,0.4,2.18
Xilinx (XLNX),4132170,47.49,0.02,0.04
Western Digital (WDC),4071667,49.29,0.27,0.55
Flextronics International (FLEX),4014390,11.76,-0.07,-0.59
LinnCo (LNCO),3941354,0.52,-0.01,-2.37
Mylan (MYL),3918075,45.46,0.41,0.91
Vanguard Natural Resources (VNR),3845087,1.56,-0.04,-2.5
Shire ADR (SHPG),3811032,166.28,5.31,3.3
lululemon athletica (LULU),3666513,60.21,-2.3,-3.68
Patterson-UTI Energy (PTEN),3618404,17.51,0.26,1.51
BlackBerry (BBRY),3548826,8.04,-0.01,-0.12
Cypress Semiconductor (CY),3535231,8.91,0.09,1.02
Solazyme (SZYM),3464989,2.73,0.47,20.8
